"relative_path","top","category","extension","bytes","lines","last_write_utc"
"mcps/chrome-devtools/tools/close_page.json","mcps","mcp-tool-schemas",".json","454","18","2026-06-20T11:14:36.3134421Z"
"mcps/chrome-devtools/tools/drag.json","mcps","mcp-tool-schemas",".json","676","27","2026-06-20T11:14:36.3161342Z"
"mcps/chrome-devtools/tools/emulate.json","mcps","mcp-tool-schemas",".json","2003","53","2026-06-20T11:14:36.3190903Z"
"mcps/chrome-devtools/tools/evaluate_script.json","mcps","mcp-tool-schemas",".json","1445","34","2026-06-20T11:14:36.3218509Z"
"mcps/chrome-devtools/tools/fill_form.json","mcps","mcp-tool-schemas",".json","1387","40","2026-06-20T11:14:36.3281017Z"
"mcps/chrome-devtools/tools/fill.json","mcps","mcp-tool-schemas",".json","805","27","2026-06-20T11:14:36.3245935Z"
"mcps/chrome-devtools/tools/get_console_message.json","mcps","mcp-tool-schemas",".json","503","18","2026-06-20T11:14:36.3311015Z"
"mcps/chrome-devtools/tools/get_network_request.json","mcps","mcp-tool-schemas",".json","967","23","2026-06-20T11:14:36.3332416Z"
"mcps/chrome-devtools/tools/handle_dialog.json","mcps","mcp-tool-schemas",".json","630","26","2026-06-20T11:14:36.3352670Z"
"mcps/chrome-devtools/tools/hover.json","mcps","mcp-tool-schemas",".json","566","22","2026-06-20T11:14:36.3382659Z"
"mcps/chrome-devtools/tools/lighthouse_audit.json","mcps","mcp-tool-schemas",".json","980","33","2026-06-20T11:14:36.3407695Z"
"mcps/chrome-devtools/tools/list_console_messages.json","mcps","mcp-tool-schemas",".json","1753","59","2026-06-20T11:14:36.3427953Z"
"mcps/chrome-devtools/tools/list_network_requests.json","mcps","mcp-tool-schemas",".json","1594","54","2026-06-20T11:14:36.3462142Z"
"mcps/chrome-devtools/tools/list_pages.json","mcps","mcp-tool-schemas",".json","246","10","2026-06-20T11:14:36.3494158Z"
"mcps/chrome-devtools/tools/navigate_page.json","mcps","mcp-tool-schemas",".json","1369","45","2026-06-20T11:14:36.3524212Z"
